soal;level_kognitif;kelas;pelajaran;kko
Siapa nama kelinci pada cerita di atas?;C1;1;Bahasa Indonesia;Menghafal
Apa yang dilakukan gajah?;C1;1;Bahasa Indonesia;Menyebutkan
Apa yang dilakukan kelinci?;C1;1;Bahasa Indonesia;Menyebutkan
Apa yang dilakukan gajah dan kelinci bersama-sama?;C1;1;Bahasa Indonesia;Menyatakan
Apakah kalian tahu nama benda dan binatang ini? tunjuk suku kata ga-, gi-, gu-, ge-, go- pada nama-nama di bawah.;C1;1;Bahasa Indonesia;Menunjukan
Tuliskan kalimat gaga gajah gembira;C1;1;Bahasa Indonesia;Mengutip
Ada di mana mereka?;C1;1;Bahasa Indonesia;Mengidentifikasi
Berapa anak yang duduk di kursi roda ?;C1;1;Bahasa Indonesia;Membilang
Teman-teman kalian di kelas pasti juga berbeda-beda. Adakah teman kalian yang berkacamata ? adakah yang berambut lurus? Adakah yang berambut keriting ? hitung jumlahnya !;C1;1;Bahasa Indonesia;Membilang
Siapa nama anak pada cerita di atas?;C1;1;Bahasa Indonesia;Menghafal
Apa yang diinginkan anak itu?;C1;1;Bahasa Indonesia;Menghafal
Apakah kalian juga pernah melakukan hal yang sama?;C1;1;Bahasa Indonesia;Menyatakan
Membaca kata benda;C1;1;Bahasa Indonesia;Membaca
Benda-benda apakah ini? Apakah kalian tahu namanya? Lengkapi namanya, ya. Sebelum menulis, cobalah mengeja nama benda itu dulu;C1;1;Bahasa Indonesia;Menghafal
Benda apa yang kalian pilih?;C1;1;Bahasa Indonesia;Menyatakan
Benda apa yang teman kalian pilih? ;C1;1;Bahasa Indonesia;Menyatakan
Benda-benda mana yang kalian butuhkan dalam gambar ?;C1;1;Bahasa Indonesia;Menyatakan
Dari mana orang tua kalian mendapatkan uang?;C1;1;Bahasa Indonesia;Menyatakan
Ayo, bantu bimo memasangkan dua sisi uang dengan tepat !;C1;1;Bahasa Indonesia;Menjodohkan
Memahami informasi pada peta Warnailah gambar sungai !;C6;1;Bahasa Indonesia;Mengidentifikasi
Lingkarilah gambar gubuk di sawah !;C1;1;Bahasa Indonesia;Menunjukkan
Gambarlah segitiga di dekat jembatan !;C1;1;Bahasa Indonesia;Menunjukkan
Ada berapa rumah pada gambar ?;C1;1;Bahasa Indonesia;Membilang
Ada berapa pohon pisang di sawah ?;C1;1;Bahasa Indonesia;Membilang
Membaca kata letak (atas, bawah, dalam luar);C1;1;Bahasa Indonesia;Membaca
Lalu, tuliskan tempat benda-benda ini pada gambar di halaman sebelum ini. 1. Ada bola di .............. kotak. 2. Ada kucing di .............. tempat tidur. 3. Ada bantal di .............. tempat tidur. 4. Ada mobil-mobilan di .............. kotak.;C1;1;Bahasa Indonesia;Menghafal
Siapa saja petugas berseragam pada gambar di atas?;C1;1;Bahasa Indonesia;Mengidentifikasi
Petugas apa saja yang ada di dekat sekolah?;C1;1;Bahasa Indonesia;Menyebutkan
Petugas apa saja yang ada di dekat rumah?;C1;1;Bahasa Indonesia;Menyebutkan
Di mana cerita di atas terjadi?;C1;1;Bahasa Indonesia;Mengidentifikasi
Kapan cerita di atas terjadi?;C1;1;Bahasa Indonesia;Mengidentifikasi
Siapakah orang di dalam mobil yang berbicara kepada Bayu?;C1;1;Bahasa Indonesia;Menghafal
Pernahkah kalian mengalami apa yang dialami Bayu?;C1;1;Bahasa Indonesia;Menyatakan
Ini adalah petugas keamanan yang dapat membantu kalian di luar rumah dan sekolah. Kalian masih ingat, bukan? Ayo, tulis namanya.;C1;1;Bahasa Indonesia;Menghafal
Apa saja kegiatan masyarakat yang ditunjukkan pada gambar di atas ?;C1;6;PPKN;Menyebutkan
Apa saja kewajibanmu sebagai warga negara dalam kehidupan sehari hari?;C2;6;PPKN;Menyebutkan
Apa judul teks pada bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa kata kunci pada judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa kata kunci pada judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apakah kamu mengetahui apa yg dimaksud dengan interval lagu?;C1;6;Seni Budaya;Menghafal
Tahukah kamu apa yang dimaksud masa puber ?;C1;6;IPA;Menghafal
Apa ciri-ciri anak laki-laki dan perempuan pada masa puber?;C1;6;IPA;Mengidentifikasi
Apakah yang dimaksud dengan kewajiban?;C1;6;PPKN;Menghafal
Apa upaya yang dapat dilakukan untuk mengisi kemerdekaan?;C2;6;PPKN;Menyebutkan
Apa judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa kata kunci pada judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa yang sedang dilakukan oleh Siti dan teman-teman?;C1;6;Bahasa Indonesia;Mengidentifikasi
Amatilah gambar di atas. Gambar manakah yang menunjukkan masa remaja?;C1;6;IPA;Menunjukkan
Apakah yang dimaksud dengan poster?;C1;6;Bahasa Indonesia;Menghafal
Apa judul bacaan di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Apa kata kunci pada judul bacaan di atas? Sebutkan dua kata kunci pada judul bacaan di atas!;C1;6;Bahasa Indonesia;Menyebutkan
Apa alat musik yang dimainkan pada gambar di atas?;C1;6;IPS;Mengidentifikasi
Dari daerah manakah alat musik tersebut?;C1;6;IPS;Mengidentifikasi
Pasal-pasal berapa sajakah yang mengatur tentang hak-hak warga negara indonesia?;C1;6;PPKN;Menyebutkan
Informasi apakah yang kamu peroleh setelah membaca teks nonfiksi berjudul tari klana topeng?;C1;6;Bahasa Indonesia;Menunjukkan
Ingatkah kamu yang dimaksud masa pubertas? Tuliskan pengertianmu mengenai masa pubertas pada kolom berikut.;C1;6;IPA;Menghafal
Apa judul bacaan yang kamu peroleh?;C1;6;Bahasa Indonesia;Menyebutkan
Apa pentingnya melaksanakan hak berdasarkan bacaan di atas?;C1;6;PPKN;Menunjukkan
Apakah yang dimaksud dengan tanggung jawab?;C1;6;PPKN;Menghafal
Lakukan identifikasi tentang upaya untuk mewujudkan masyarakat sejahtera.!;C1;6;PPKN;Mengidentifikasi
Apa bunyi tulisan pada papan reklame di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Gambar apa yang terdapat pada papan reklame di atas?;C1;6;Bahasa Indonesia;Mengidentifikasi
Lembaga apa yang memasang reklame tersebut?;C1;6;Bahasa Indonesia;Mengidentifikasi
Tuliskan secara rinci tentang pelaksanaan tanggung jawab dan dampak yang ditimbulkan pada tabel berikut;C4;6;PPKN;Menyebutkan
Apa isi setiap reklame pada gambar di atas?;C1;6;Bahasa Indonesia;Menyebutkan
Ciri-ciri masa pubertas pada anak laki-laki yaitu;C1;6;IPA;Menghafal
Ciri-ciri masa pubertas pada anak perempuan yaitu;C1;6;IPA;Menghafal
Ingatkah kamu yang dimaksud dengan reklame?;C1;6;Bahasa Indonesia;Menghafal
Apa saja media reklame?;C1;6;Bahasa Indonesia;Menyebutkan
Urutan  5 huruf abjad pertama adalah…;C1;1;Bahasa Indonesia;Menunjukan
Huruf depan dari nama “Siti”adalah…;C1;1;Bahasa Indonesia;Mengidentifikasi
Angka yang menunjukkan jumlah banyaknya benda di dalam kotak di bawah ini adalah..;C1;1;Matematika;Mengidentifikasi
Ada berapa banyak anak perempuan pada gambar di bawah ini…. ;C1;1;Matematika;Membilang
Ketika makan hendaknya menggunakan tangan…;C2;1;Bahasa Indonesia;Mengidentifikasi
ketika membaca posisi tubuh harus..;C2;1;Bahasa Indonesia;Mengidentifikasi
Tempat untuk membaca buku sebaiknya…;C1;1;Bahasa Indonesia;Mengidentifikasi
Jumlah kacamata yang ada pada gambar di bawah ini adalah.. ;C1;1;Matematika;Membilang
Hitunglah jumlah orang yang ada di bawah ini !;C1;1;Matematika;Membilang
Lambang bilangan yang sesuai dengan namanya adalah... ;C1;1;Matematika;Mengidentifikasi
Lambang dan nama bilangan yang tepat untuk gambar di atas adalah..;C1;1;Matematika;Mengidentifikasi
lambang bilangan yang tepat untuk gambar di atas adalah..;C1;1;Matematika;Mengidentifikasi
Sebutkan 3 cara memberi salam yang bena!;C1;1;PPKN;Menyebutkan
Agar mendapatkan tubuh yang bersih kita harus…;C2;1;Bahasa Indonesia;Mengidentifikasi
Setelah bermain kita harus mencuci…;C2;1;Bahasa Indonesia;Mengidentifikasi
sebutkan anggota tubuh yang terdapat pada lagu di bawah ini!;C1;1;IPA;Menyebutkan
Tuliskan lambang bilangan yang sesuai dengan namanya.;C1;1;Matematika;Menulis
Pasangkan lambang bilangan dengan namanya.;C1;1;Matematika;Memasangkan
Temukan pasangan gambar yang sama banyak.;C1;1;Matematika;Memasangkan
Sebelum makan kita harus mencuci : ..;C2;1;Bahasa Indonesia;Mengidentifikasi
Dalam sehari sebaiknya kita mandi …. Kali ;C1;1;Bahasa Indonesia;Menyatakan
Gambar dibawah ini adalah gambar : ...;C1;1;PPKN;Mengidentifikasi
Gambar di bawah ini adalah gambar…;C1;1;PPKN;Mengidentifikasi
Huruf vocal yang terdapat pada kata  “pasta gigi” adalah..;C1;1;Bahasa Indonesia;Mengidentifikasi
Huruf konsonan yang terdapat pada kata bermain adalah…;C1;1;Bahasa Indonesia;Mengidentifikasi
Temukan huruf konsonan yang ada di gambar di bawah ini !;C1;1;Bahasa Indonesia;Mengidentifikasi
Huruf vokal dari kata dibawah ini adalah…;C1;1;Bahasa Indonesia;Mengidentifikasi
Sebutkan macam- macam kegemaran yang ada di rumah!;C1;1;Bahasa Indonesia;Menyebutkan
Sebutkan makanan kesukaan yang ada pada teks bacaan di bawah ini!;C1;1;Bahasa Indonesia;Menyebutkan
Perbedaan membuat kita saling ... dan ...;C1;1;PPKN;Menyebutkan
Berapakah jumlah pensil yang terdapat pada gambar…;C1;1;Matematika;Membilang
Berapaka jumlah penghapus yang terdapat pada gambar…;C1;1;Matematika;Membilang
Lengkapi kalimat- di bawah ini dengan kata yang tepat berdasarkan gambar…;C1;1;Bahasa Indonesia;Mengidentifikasi
Pikiran yang sehat terletak dalam badan yang ...;C2;1;Olahraga;Menyatakan
Hitung jumlah bola yang ada di bawah ini!;C1;1;Matematika;Membilang
Jumlah anak yang terdapat pada gambar si bawah ini adalah…;C1;1;Matematika;Membilang
Jumlah kok yang terdapat pada gambar adalah…;C1;1;Matematika;Membilang
Judul dari lagu di bawah ini adalah…;C1;1;Bahasa Indonesia;Mengidentifikasi
Kata yang tepat untuk  syair lagu “Kepala Pundak Lutut..............” adalah ;C1;1;Bahasa Indonesia;Mengidentifikasi
Sisa apel yang belum dimakan adalah…;C1;1;Matematika;Mengidentifikasi
Lengkapi kalimat di bawah ini sesuai dengan gambar!;C1;1;Bahasa Indonesia;Mengidentifikasi
Perhatikan jumlah benda pada gambar! Tulis bilangan yang tepat!;C1;1;Matematika;Membilang
Lengkapi dengan kata-kata dari dalam kotak!;C1;1;Bahasa Indonesia;Mengidentifikasi
Gambar dibawah ini adalah gambar ...;C1;1;PPKN;Mengidentifikasi
gambar dibawah ini berbentuk…;C1;1;PPKN;Mengidentifikasi
Gambar di bawah ini merupakan gambar yang menunjukkan…;C1;1;PPKN;Mengidentifikasi
Bentuk bangun ruang yang terdapat pada gambar di bawah ini adalah..;C1;1;Matematika;Mengidentifikasi
Gambar yang berbentuk kubus adalah… ;C1;1;Matematika;Mengidentifikasi
Ayah adalah seorang…;C1;1;Bahasa Indonesia;Menyebutkan
Bola berbentuk .....;C1;1;Matematika;Menyebutkan
Balok memiliki sisi yang  ukuran dan bentuk...;C1;1;Matematika;Menyebutkan
Sebutkan nama-nama bangun ruang !;C1;1;Matematika;Mengidentifikasi
Sebutkan ciri-ciri dari balok !;C1;1;Matematika;Menyebutkan
Sebutkan kesukaan makanan yang ada di rumah!;C1;1;Bahasa Indonesia;Menyebutkan
 Lambang negara Indonesia adalah…;C1;2;PPKN;Mengidentifikasi
Bunyi dari pancasila ke 3 adalah…;C1;2;PPKN;Mengidentifikasi
Urutan lambang Pancasila adalah… ;C1;2;PPKN;Mengidentifikasi
Ungkapan adalah…;C1;2;Bahasa Indonesia;Mendefinisikan
232 jika ditulis menjadi huruf menjadi…;C1;2;Matematika;Menulis
Lambang bilangan dari “456”….;C1;2;Matematika;Menulis
lambang bilangan angka dari “ dua ratus tujuh puluh lima”..;C1;2;Matematika;Menulis
Tuliskan bunyi pancasila yang ke 1 dan 5 ;C1;2;PPKN;Menulis
Pohon beringin merupakan lambang Pancasila yang ke..;C1;2;PPKN;Mengidentifikasi
Sebutkan lima kata ungkapan beserta artinya!;C1;2;Bahasa Indonesia;Menyebutkan
Bunyi sila ketiga Pancasila adalah…;C1;2;PPKN;Menyebutkan
Kalimat yang isinya menyuruh untuk melakukan sesuatu adalah..;C2;2;Bahasa Indonesia;Menyebutkan
Sila kedua pancasila dilambang dengan ............;C1;2;PPKN;Menyebutkan
Menjaga persatuan dan kesatuan di masyarakat, sesuai dengan pengamalan sila ketiga Pancasila. Apakah lambang sila ketiga ?;C1;2;PPKN;Menyebutkan
Bagaimana bunyi sila kedua pancasila?;C1;2;PPKN;Menyebutkan
Pohon beringin merupakan lambang sila Pancasila yang ke…;C1;2;PPKN;Menyebutkan
Kalimat perintah adalah…;C1;2;Bahasa Indonesia;Menyebutkan
Di manakah aturan berada..;C1;2;PPKN;Mengidentifikasi
Berdasarkan wujudnya, benda dibagi menjadi..;C1;2;IPA;Menyebutkan
Benda yang memiliki bentuk dan ukuran yang tetap adalah…;C1;2;IPA;Menghafal
Halus, kasar, dan basah merupakan…;C1;2;IPA;Mengidentifikasi
Sebutkan beberapa tatatertib di sekolah adalah … ;C1;2;PPKN;Menghafal
Sebutkan 3 tata tertib di sekolah!;C1;2;PPKN;Menyebutkan
Tata tertib di rumah adalah…;C1;2;PPKN;Menghafal
Berapa warna yang terdapat dalam lirik lagu “balonku”? ;C1;2;Bahasa Indonesia;Membilang
Suatu benda yang berbentuk cair, yang mempunyai sifat mengalir, basah, bentuk tidak tetap atau menyesuaikan dengan tempat yang ditempatinya serta volumenya tetap adalah…;C1;2;IPA;Mengidentifikasi
Sebutkan tata tertib ketika ujian!;C1;2;PPKN;Menyebutkan
Berdasarkan paragraf di atas alat untuk membuat istana pasir  adalah..;C1;2;IPA;Mengemukakan
Benda cair adalah..;C1;2;IPA;Menyebutkan
Simbol sila pertama Pancasila adalah ...;C1;3;PPKN;Menyebutkan
Simbol sila kedua Pancasila...;C1;3;PPKN;Menyebutkan
Ikan bernapas dengan …;C1;3;IPA;Menyebutkan
Urutan angka bilangan yang benar adalah …;C3;3;Matematika;Menjalin
896 dibaca ……;C1;3;Matematika;Membaca
Sebutkan 3 ciri-ciri makhluk hidup ...;C1;3;IPA;Menyebutkan
Tuliskan Bunyi Sila pertama …;C1;3;PPKN;Menulis
Tuliskan Bunyi Sila Kedua …;C1;3;PPKN;Menulis
Apa yang dimaksud dengan Protein hewani …;C1;3;IPA;Mengutip
Apa yang dimaksud dengan Protein nabati …;C1;3;IPA;Mengutip
Tahapan nyamuk setelah dari telur adalah menjadi ...;C1;3;IPA;Mengidentifikasi
Berikut merupakan urutan daur hidup kupu-kupu adalah ...;C3;3;IPA;Menyebutkan
Salah satu tumbuhan dibawah ini yang berkembang biak dengan tunas …;C1;3;IPA;Mengidentifikasi
Tumbuhan yang berkembang biak dengan tunas adalah ...;C1;3;IPA;Mengidentifikasi
Lambang sila kedua adalah …;C1;3;PPKN;Menjelaskan
Apa yang dimaksud dengan perkembang biakan buatan…;C1;3;IPA;Menjelaskan
Sebutkan kekurangan dari hasil mencakok tanaman?;C1;3;IPA;Menyebutkan
Sebutkan 3 contoh perkembang biakan buatan ?;C1;3;IPA;Menyebutkan
sebutkan bunyi sila kedua …;C1;3;PPKN;Menyebutkan
Kejadian yang pernah dialami disebut ...;C1;3;Bahasa Indonesia;Menyebutkan
Orang yang selalu bersyukur adalah orang yang rendah hati. Kebalikannya orang yang tidak bersyukur adalah ...;C1;3;PPKN;Mengidentifikasi
Batang tanaman tebu banyak dimanfaatkan untuk….;C1;3;IPA;Mengidentifikasi
Bunyi sila kedua adalah ...;C1;3;PPKN;Menyebutkan
Simbol pancasila ke 5 adalah …;C1;3;PPKN;Menghafal
Pekerjaan yang dilakukan sebagai kegiatan pokok untuk menghasilkan nafkah hidup dan yang mengandalkan suatu keahlian adalah…;C1;3;IPS;Menyebutkan
gambar diatas menunjukan profesi sebagai …;C1;3;IPS;Mengidentifikasi
Gambar diatas menunjukan peran sebagai …;C1;3;IPS;Mengidentifikasi
Orang yang bertugas mengajarkan ilmu dengan baik kepada anak didiknya disebut ...;C1;3;IPS;Menyebutkan
Sebutkan bunyi sila ke lima ....;C1;3;PPKN;Menyebutkan
Subutkan kewajiban seorang anak dirumah ...;C1;3;PPKN;Menyebutkan
Sebutkan masing masing peran pada gambar di bawah ini …;C1;3;IPS;Menyebutkan
Salah satu kewajiban ibu dirumah adalah …?;C1;3;PPKN;Mengemukakan
Drama yang mencerminkan tentang kisah yang lucu dinamakan drama …;C1;3;Bahasa Indonesia;Mengidentifikasi
Salah satu kewajiban ayah adalah …;C1;3;PPKN;Mengidentifikasi
Tari bungong jeumpa merupakan tarian daerah yang berasal dari …..;C1;4;IPS;Menghafal
Kalimat penjelas dalam sebuah paragraf untuk menjelaskan kalimat utama disebut juga …..;C1;4;Bahasa Indonesia;Menghafal
Pokok masalah yang mendasari cerita yang bersifat abstrak/implisit atau kata-kata kunci yang terdapat dalam kalimat utama disebut …..;C1;4;Bahasa Indonesia;Menghafal
Contoh seni kebudayaan suku jawa, yaitu …..;C2;4;IPS;Menyebutkan
Honai adalah rumah adat yang berasal dari daerah ...;C1;4;IPS;Mengidentifikasi
Rumah adat dari Jawa Tengah adalah ...;C1;4;IPS;Menghafal
Darimanakah suku asmat berasal?;C1;4;IPS;Menghafal
Sebutkan manfaat kerjasama !;C1;4;IPS;Menyebutkan
Bunyi tidak bisa merambat pada …..;C2;4;IPA;Mengidentifikasi
Gambar berikut merupakan rumah adat masyarakat provinsi Maluku yang bernama .........;C1;4;IPS;Mengidentifikasi
Sebuah paragraf yang kalimat utamanya terletak pada di bagian akhir Paragraf, yaitu ….;C1;4;Bahasa Indonesia;Menghafal
Makanan khas rendang  berasal dari ….;C1;4;IPS;Menghafal
Suku asli yang berasal dari daerah Kalimantan, ciri khasnya memakai manik manik dan tato di tubuhnya yang melambangkan tradisi disebut …..;C1;4;IPS;Mengidentifikasi
Pakaian adat yang identik dengan atribut keris, surjan dan blangkon merupakan pakaian adat yang berasal dari …..;C1;4;IPS;Mengidentifikasi
Manfaat kicir angin sebagai berikut, kecuali …..;C2;4;IPA;Membedakan
Pemantulan bunyi yang diterima oleh pendengar beberapa saat setelah bunyi langsung disebut ….;C1;4;IPA;Menghafal
Gambar diatas merupakan budaya masyarakat Nias yang disebut …..;C1;4;IPS;Mengidentifikasi
Sebutkan 3 sumber energi dalam kehidupan sehari hari !;C1;4;IPA;Meyebutkan
Sebutkan macam-macam bunyi pantul!;C1;4;IPA;Menyebutkan
Apa yang dimaksud sumber daya alam yang dapat diperbaharui?;C1;4;IPA;Menjelaskan
Sikap dimana kita tidak membelanjakan atau menggunakan sesuatu yang tidak begitu penting disebut ….;C1;4;PPKN;Menghafal
Pengumuman atau iklan berbentuk gambar atau tulisan yang ditempelkan di dinding, tembok, atau tempat-tempat umum yang strategis agar mudah diketahui banyak orang. Selain itu berisi ajakan atau imbauan untuk melakukan sesuatu, disebut …..;C1;4;Bahasa Indonesia;Menghafal
Salah satu pemanfaatan sumber energi angin yaitu ….;C2;4;IPA;Menghafal
Apa sumber energi utama di bumi?;C1;4;IPA;Menghafal
Sebutkan kewajiban masyarakat terhadap lingkungan!;C1;4;IPA;Mencontohkan
Sebutkan macam-macam energi yang kamu ketahui beserta contohnya!;C1;4;IPA;Menyebutkan
Apa yang dimaksud dengan sumber energi alternatif?;C1;4;IPA;Menghafal
Hal yang dihindari sebelum melakukan wawancara yaitu …..;C1;4;Bahasa Indonesia;Menyebutkan
Pertanyaan yang baik yaitu mengandung unsur …..;C1;4;Bahasa Indonesia;Menghafal
Merupakan kata tanya yang berfungsi untuk menanyakan interval peristiwa terjadinya sesuatu keadaan. Jawaban atas kata tanya ini dapat berupa jam, hari, tanggal, bulan, tahun ataupun lamanya sebuah kejadian yaitu …..;C1;4;Bahasa Indonesia;Menghafal
Tanah yang cocok untuk tanaman teh adalah …..;C2;4;IPA;Menghafal
Gambar diatas merupakan bagian tumbuhan yang umumnya berada di dalam tanah yang disebut .......;C1;4;IPA;Mengidentifikasi
Yang tidak dibutuhkan tumbuhan untuk fotosintesis adalah ….;C1;4;IPA;Menghafal
Cicak dapat merayap di dinding, karena pada kaki cicak terdapat …..;C1;4;IPA;Mengidentifikasi
Sebutkan nama bagian tubuh burung yang ditunjukan dengan nomer 4 !;C1;4;IPA;Mengidentifikasi
Sebutkan bagian –bagian dari tumbuhan !;C1;4;IPA;Menyebutkan
Apa fungsi akar?;C1;4;IPA;Menghafal
Narasumber dalam cuplikan percakapan diatas yaitu seorang …..;C1;4;Bahasa Indonesia;Mengidentifikasi
Dari gambar diatas disebutkan bagian-bagian tubuh dari kumbang. Antena kumbang berfungsi untuk .....;C1;4;IPA;Mengidentifikasi
Fungsi selaput kaki pada bebek;C1;4;IPA;Menghafal
Sebutkan 3 unsur dalam wawancara ?;C1;4;Bahasa Indonesia;Menyebutkan
Salah satu contoh mata pencaharian di daerah pesisir pantai adalah …..;C1;5;IPS;Menghafal
Mata pencaharian  di daerah pegunungan yaitu ….;C2;5;IPS;Menghafal
Macam gerak otot ada dua yaitu ….;C1;5;Olahraga;Menghafal
Kelainan otot yang membesar dan menjadi lebih kuat karena sel otot diberikan kegiatan/aktivitas yang terus-menerus secara berlebihan disebut ….;C1;5;IPA;Menghafal
Paragraf yang baik adalah paragraf yang terdiri atas satu kalimat topik dan beberapa …..;C1;5;Bahasa Indonesia;Menghafal
Gambar diatas merupakan kenampakan alam …..;C1;5;IPA;Mengidentifikasi
Mata pencahariaan di dataran rendah adalah ….;C2;5;IPS;Menyebutkan
Gerakan massa udara yang terjadi karena karena adanya perbedaan tekanan udara yang begitu besar yaitu antara daratan dan lautan, atau bisa dibilang antara benua dan samudra, disebut;C1;5;IPA;Menghafal
Tulang yang ditunjukan no 1 adalah …..;C1;5;IPA;Mengidentifikasi
Otot polos dipengaruhi oleh saraf otonom (saraf tak sadar) sehingga kontraksinya tak sadar (otot involunter), gerakannya tidak cepat lelah, dan reaksi terhadap rangsangan lambat adalah …..;C1;5;IPA;Menghafal
Bagaimana keadaan iklim di Indonesia?;C1;5;IPA;Mengidentifikasi
Jenis pekerjaan masyarakat yang diwilayah pesisir yaitu …;C2;5;IPS;Mengidentifikasi
Kelainan otot yang membesar dan menjadilebih kuat karena sel otot diberikan kegiatan/aktivitas yang terus-menerus secara berlebihan adalah….;C1;5;IPA;Menghafal
Gambar di bawahini merupakan kelainan oto yang bernama…;C1;5;IPA;Mengidentifikasi
proses pertukaran gas antara makhluk hidup (organisme) dengan lingkungannya. Gas yang kita tukar tersebut adalah gas oksigen dan karbon dioksida disebut..;C1;5;IPA;Menghafal
Bagian paru yang di tunjukan dengan angka 1 adalah…;C1;5;IPA;Menghafal
Apa yang dimaksud ide pokok?;C1;5;Bahasa Indonesia;Menghafal
Sebutkan penyebab salah satu kelainan pada organ gerak!;C1;5;Bahasa Indonesia;Menyebutkan
Sebutkan salah satu bentuk tanggung jawab dirumah!;C1;5;PPKN;Menyebutkan
Sebutkan jenis usaha ekonomi masyarakat sekitar tempat tinggal!;C1;5;IPS;Mengidentifikasi
Sebutkan organ pernapasan manusia secara urut!;C1;5;IPA;Menyebutkan
Sekumpulan dua  orang  atau  lebih  untuk mendirikan  suatu  perusahaan yang di dalamnya ada sekutu aktif dan pasif yaitu ....;C1;5;IPA;Menghafal
Dibawah ini yang merupakan kalimat tanya yang menunjukkan waktu kejadian yaitu ….;C1;5;Bahasa Indonesia;Mengidentifikasi
